Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
2170,9,0.74,224.56,54015.12,72.7,6094.04,224494.32
2180,9,0.74,224.52,53942.42,72.7,6093.13,224504.83
2190,9,0.74,224.48,53869.72,72.71,6092.22,224515.35
2200,9,0.74,224.44,53797.01,72.71,6091.31,224525.88
2210,9,0.74,224.4,53724.29,72.71,6090.4,224536.42
2220,9,0.74,224.36,53651.58,72.72,6089.48,224546.96
2230,9,0.74,224.32,53578.86,72.72,6088.57,224557.51
2240,9,0.74,224.28,53506.14,72.72,6087.66,224568.07
2250,9,0.74,224.24,53433.41,72.73,6086.75,224578.64
2260,9,0.74,224.2,53360.68,72.73,6085.84,224589.22
2270,9,0.74,224.16,53287.95,72.73,6084.93,224599.8
2280,9,0.74,224.11,53215.21,72.74,6084.02,224610.39
2290,9,0.74,224.07,53142.47,72.74,6083.11,224620.99
2300,9,0.74,224.03,53069.73,72.74,6082.2,224631.59
2310,9,0.74,223.99,52996.98,72.75,6081.29,224642.21
2320,9,0.74,223.95,52924.23,72.75,6080.39,224652.83
2330,9,0.74,223.91,52851.48,72.75,6079.48,224663.46
2340,9,0.74,223.87,52778.72,72.76,6078.57,224674.1
2350,9,0.74,223.83,52705.96,72.76,6077.66,224684.74
2360,9,0.74,223.79,52633.19,72.76,6076.75,224695.4
2370,9,0.74,223.75,52560.43,72.77,6075.85,224706.06
2380,9,0.74,223.71,52487.66,72.77,6074.94,224716.73
2390,9,0.74,223.66,52414.88,72.77,6074.03,224727.4
2400,9,0.74,223.62,52342.1,72.78,6073.13,224738.09
2410,9,0.74,223.58,52269.32,72.78,6072.22,224748.78
2420,9,0.74,223.54,52196.54,72.78,6071.31,224759.48
2430,9,0.74,223.5,52123.75,72.79,6070.41,224770.19
2440,9,0.74,223.46,52050.96,72.79,6069.5,224780.91
2450,9,0.74,223.42,51978.16,72.8,6068.6,224791.63
2460,9,0.74,223.38,51905.36,72.8,6067.69,224802.36
2470,9,0.74,223.34,51832.56,72.8,6066.79,224813.1
2480,9,0.74,223.29,51759.76,72.81,6065.88,224823.85
2490,9,0.73,223.25,51686.95,72.81,6064.98,224834.61
2500,9,0.73,223.21,51614.13,72.81,6064.08,224845.37
2510,9,0.73,223.17,51541.32,72.82,6063.17,224856.14
2520,9,0.73,223.13,51468.5,72.82,6062.27,224866.92
2530,9,0.73,223.09,51395.67,72.82,6061.37,224877.71
2540,9,0.73,223.05,51322.85,72.83,6060.46,224888.5
2550,9,0.73,223.01,51250.02,72.83,6059.56,224899.31
2560,9,0.73,222.97,51177.18,72.83,6058.66,224910.12
2570,9,0.73,222.92,51104.35,72.84,6057.76,224920.94
2580,9,0.73,222.88,51031.51,72.84,6056.86,224931.77
2590,9,0.73,222.84,50958.66,72.84,6055.96,224942.6
2600,9,0.73,222.8,50885.82,72.85,6055.06,224953.45
2610,9,0.73,222.76,50812.96,72.85,6054.15,224964.3
2620,9,0.73,222.72,50740.11,72.85,6053.25,224975.16
2630,9,0.73,222.68,50667.25,72.86,6052.35,224986.03
2640,9,0.73,222.64,50594.39,72.86,6051.45,224996.9
2650,9,0.73,222.6,50521.52,72.87,6050.55,225007.79
2660,9,0.73,222.55,50448.66,72.87,6049.66,225018.68
2670,9,0.73,222.51,50375.78,72.87,6048.76,225029.58
2680,9,0.73,222.47,50302.91,72.88,6047.86,225040.49
2690,9,0.73,222.43,50230.03,72.88,6046.96,225051.41
2700,9,0.73,222.39,50157.15,72.88,6046.06,225062.33
2710,9,0.73,222.35,50084.26,72.89,6045.16,225073.26
2720,9,0.73,222.31,50011.37,72.89,6044.27,225084.21
2730,9,0.73,222.26,49938.48,72.89,6043.37,225095.15
2740,9,0.73,222.22,49865.58,72.9,6042.47,225106.11
2750,9,0.73,222.18,49792.68,72.9,6041.58,225117.08
2760,9,0.73,222.14,49719.77,72.9,6040.68,225128.05
2770,9,0.73,222.1,49646.87,72.91,6039.78,225139.03
2780,9,0.73,222.06,49573.95,72.91,6038.89,225150.02
2790,9,0.73,222.02,49501.04,72.91,6037.99,225161.02
2800,9,0.73,221.98,49428.12,72.92,6037.1,225172.03
