Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
3440,9.5,0.75,226.2,44985.96,72.43,5705.84,223673.55
3450,9.5,0.75,226.15,44913.52,72.44,5704.92,223684.24
3460,9.5,0.75,226.11,44841.08,72.44,5704.01,223694.94
3470,9.5,0.75,226.07,44768.64,72.44,5703.09,223705.65
3480,9.5,0.75,226.02,44696.19,72.45,5702.18,223716.37
3490,9.5,0.75,225.98,44623.74,72.45,5701.27,223727.1
3500,9.5,0.75,225.94,44551.29,72.45,5700.35,223737.84
3510,9.5,0.75,225.9,44478.83,72.46,5699.44,223748.58
3520,9.5,0.75,225.85,44406.37,72.46,5698.53,223759.33
3530,9.5,0.75,225.81,44333.9,72.46,5697.62,223770.09
3540,9.5,0.75,225.77,44261.43,72.47,5696.7,223780.86
3550,9.5,0.75,225.72,44188.96,72.47,5695.79,223791.64
3560,9.5,0.75,225.68,44116.49,72.47,5694.88,223802.42
3570,9.5,0.75,225.64,44044.01,72.48,5693.97,223813.21
3580,9.5,0.75,225.59,43971.53,72.48,5693.06,223824.02
3590,9.5,0.75,225.55,43899.04,72.49,5692.15,223834.83
3600,9.5,0.75,225.51,43826.55,72.49,5691.24,223845.64
3610,9.5,0.75,225.47,43754.06,72.49,5690.33,223856.47
3620,9.5,0.75,225.42,43681.57,72.5,5689.42,223867.31
3630,9.5,0.75,225.38,43609.07,72.5,5688.51,223878.15
3640,9.5,0.75,225.34,43536.56,72.5,5687.6,223889.0
3650,9.5,0.75,225.29,43464.06,72.51,5686.69,223899.86
3660,9.5,0.75,225.25,43391.55,72.51,5685.78,223910.73
3670,9.5,0.75,225.21,43319.03,72.51,5684.87,223921.61
3680,9.5,0.75,225.16,43246.52,72.52,5683.97,223932.49
3690,9.5,0.75,225.12,43174.0,72.52,5683.06,223943.38
3700,9.5,0.75,225.08,43101.47,72.52,5682.15,223954.29
3710,9.5,0.75,225.03,43028.94,72.53,5681.24,223965.2
3720,9.5,0.75,224.99,42956.41,72.53,5680.34,223976.11
3730,9.5,0.75,224.95,42883.88,72.53,5679.43,223987.04
3740,9.5,0.75,224.91,42811.34,72.54,5678.52,223997.98
3750,9.5,0.75,224.86,42738.8,72.54,5677.62,224008.92
3760,9.5,0.75,224.82,42666.25,72.55,5676.71,224019.87
3770,9.5,0.75,224.78,42593.7,72.55,5675.81,224030.84
3780,9.5,0.75,224.73,42521.15,72.55,5674.9,224041.8
3790,9.5,0.74,224.69,42448.6,72.56,5674.0,224052.78
3800,9.5,0.74,224.65,42376.04,72.56,5673.09,224063.77
3810,9.5,0.74,224.6,42303.47,72.56,5672.19,224074.76
3820,9.5,0.74,224.56,42230.91,72.57,5671.28,224085.77
3830,9.5,0.74,224.52,42158.34,72.57,5670.38,224096.78
3840,9.5,0.74,224.47,42085.76,72.57,5669.48,224107.8
3850,9.5,0.74,224.43,42013.19,72.58,5668.57,224118.83
3860,9.5,0.74,224.39,41940.6,72.58,5667.67,224129.87
3870,9.5,0.74,224.34,41868.02,72.58,5666.77,224140.91
3880,9.5,0.74,224.3,41795.43,72.59,5665.87,224151.97
3890,9.5,0.74,224.26,41722.84,72.59,5664.96,224163.03
3900,9.5,0.74,224.21,41650.25,72.6,5664.06,224174.11
3910,9.5,0.74,224.17,41577.65,72.6,5663.16,224185.19
3920,9.5,0.74,224.13,41505.04,72.6,5662.26,224196.28
3930,9.5,0.74,224.08,41432.44,72.61,5661.36,224207.37
3940,9.5,0.74,224.04,41359.83,72.61,5660.46,224218.48
3950,9.5,0.74,224.0,41287.22,72.61,5659.56,224229.6
3960,9.5,0.74,223.95,41214.6,72.62,5658.66,224240.72
3970,9.5,0.74,223.91,41141.98,72.62,5657.76,224251.85
3980,9.5,0.74,223.87,41069.35,72.62,5656.86,224262.99
3990,9.5,0.74,223.82,40996.73,72.63,5655.96,224274.14
4000,9.5,0.74,223.78,40924.1,72.63,5655.06,224285.3
4010,9.5,0.74,223.74,40851.46,72.63,5654.16,224296.47
4020,9.5,0.74,223.69,40778.82,72.64,5653.27,224307.65
4030,9.5,0.74,223.65,40706.18,72.64,5652.37,224318.83
4040,9.5,0.74,223.61,40633.53,72.65,5651.47,224330.03
4050,9.5,0.74,223.56,40560.88,72.65,5650.57,224341.23
4060,9.5,0.74,223.52,40488.23,72.65,5649.68,224352.44
4070,9.5,0.74,223.47,40415.57,72.66,5648.78,224363.66
4080,9.5,0.74,223.43,40342.91,72.66,5647.88,224374.89
4090,9.5,0.74,223.39,40270.25,72.66,5646.99,224386.13
